,user_id,session_date,session_duration_minutes,workout_module_used,calories_burned,completed_goal_checkin,signup_date,age,gender,goal,last_login_date,dropoff_flag,Age Group,sub_duration_days,goal_reached_numeric
0,U0001,2025-05-13,30,Strength,153.41,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
1,U0001,2025-05-15,66,Cardio,339.89,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
2,U0001,2025-05-19,34,Cardio,214.16,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
3,U0001,2025-05-22,88,Cardio,620.48,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
4,U0001,2025-05-23,42,Cardio,322.88,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
5,U0001,2025-05-26,77,Yoga,667.66,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
6,U0001,2025-05-29,56,Cardio,510.27,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
7,U0001,2025-05-30,46,Stretching,354.44,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
8,U0001,2025-06-02,23,Stretching,197.09,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
9,U0001,2025-06-08,55,Cardio,405.89,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
10,U0001,2025-06-09,39,Cardio,260.78,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
11,U0001,2025-06-12,22,Strength,208.48,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
12,U0001,2025-06-14,73,Strength,630.36,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
13,U0001,2025-06-18,33,HIIT,200.03,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
14,U0001,2025-06-21,48,HIIT,454.2,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
15,U0001,2025-06-23,29,HIIT,205.2,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
16,U0001,2025-06-25,43,Cardio,419.82,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
17,U0001,2025-07-03,10,Stretching,59.95,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
18,U0001,2025-07-04,55,HIIT,319.28,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
19,U0001,2025-07-05,65,HIIT,466.6,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
20,U0001,2025-07-09,50,Strength,481.91,No,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,0
21,U0001,2025-07-10,61,Strength,391.98,Yes,2025-05-13,43,M,Build Muscle,2025-07-30,No,Mid,78,1
